Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,55.000000,55.830002,54.060001,54.360001,54.360001,2146100
2019-04-24,54.360001,55.099998,53.630001,54.459999,54.459999,1253900
2019-04-25,54.400002,55.900002,53.825001,55.029999,55.029999,887400
2019-04-26,55.200001,57.869999,54.049999,57.750000,57.750000,1722000
2019-04-29,57.840000,59.644001,57.000000,59.189999,59.189999,2870800
2019-04-30,59.169998,59.180000,56.290001,56.880001,56.880001,2103500
2019-05-01,60.000000,64.000000,56.674999,58.000000,58.000000,3464000
2019-05-02,58.000000,58.685001,56.220001,58.000000,58.000000,1553100
2019-05-03,57.750000,60.990002,57.535000,60.930000,60.930000,1731600
2019-05-06,58.700001,62.681000,58.360001,62.549999,62.549999,1581000
2019-05-07,61.549999,62.560001,60.869999,61.720001,61.720001,1610600
2019-05-08,61.570000,63.049999,61.009998,61.560001,61.560001,875100
2019-05-09,60.689999,62.099998,59.400002,61.500000,61.500000,795700
2019-05-10,61.000000,61.645000,58.900002,60.970001,60.970001,839600
2019-05-13,58.634998,59.740002,56.880001,58.029999,58.029999,1327600
2019-05-14,58.509998,59.529999,58.099998,58.520000,58.520000,960100
2019-05-15,57.590000,60.224998,57.299999,59.099998,59.099998,1371500
2019-05-16,59.000000,62.660000,59.000000,61.480000,61.480000,1815100
2019-05-17,60.689999,62.220001,59.250000,59.430000,59.430000,1219500
2019-05-20,58.470001,61.110001,58.070000,60.610001,60.610001,873000
2019-05-21,61.250000,63.560001,61.139999,63.180000,63.180000,937000
2019-05-22,62.599998,63.279999,62.000000,63.029999,63.029999,701200
2019-05-23,62.000000,62.060001,59.160000,59.889999,59.889999,1060600
2019-05-24,59.889999,61.299999,59.650002,61.200001,61.200001,620600
2019-05-28,61.549999,61.930000,60.869999,61.200001,61.200001,830400
2019-05-29,60.459999,60.849998,57.349998,58.040001,58.040001,1359300
2019-05-30,58.500000,59.369999,57.410000,58.099998,58.099998,1035300
2019-05-31,57.099998,58.900002,56.150002,58.119999,58.119999,627000
2019-06-03,58.000000,58.000000,53.459999,53.980000,53.980000,2052300
2019-06-04,54.500000,55.919998,53.820000,55.750000,55.750000,1825900
2019-06-05,56.450001,56.500000,53.880001,55.139999,55.139999,943400
2019-06-06,55.150002,55.695999,54.009998,54.270000,54.270000,716500
2019-06-07,54.660000,56.259998,54.660000,55.700001,55.700001,713000
2019-06-10,56.580002,59.259998,56.520000,57.470001,57.470001,1042300
2019-06-11,58.099998,58.799999,57.369999,58.070000,58.070000,815300
2019-06-12,57.939999,58.209999,56.599998,57.740002,57.740002,726000
2019-06-13,58.650002,59.950001,58.299999,59.259998,59.259998,1070900
2019-06-14,59.290001,59.720001,58.619999,58.669998,58.669998,716200
2019-06-17,58.849998,60.549999,58.849998,60.020000,60.020000,722900
2019-06-18,60.700001,61.910000,59.980000,60.910000,60.910000,1071200
2019-06-19,61.240002,61.709999,60.029999,61.619999,61.619999,905600
2019-06-20,62.259998,63.139999,61.439999,62.770000,62.770000,1095900
2019-06-21,62.430000,63.939999,62.009998,63.500000,63.500000,1431700
2019-06-24,63.750000,63.950001,61.970001,62.750000,62.750000,854800
2019-06-25,62.759998,62.990002,60.200001,60.730000,60.730000,1013500
2019-06-26,61.459999,61.919998,59.799999,60.080002,60.080002,751800
2019-06-27,60.400002,62.900002,60.209999,62.820000,62.820000,775200
2019-06-28,63.000000,66.559998,62.939999,66.410004,66.410004,2741300
2019-07-01,67.809998,68.190002,66.639999,67.699997,67.699997,1096400
2019-07-02,67.410004,67.665001,66.250000,66.919998,66.919998,963500
2019-07-03,67.430000,67.629997,66.260002,67.279999,67.279999,623600
2019-07-05,66.709999,68.860001,66.269997,68.279999,68.279999,585900
2019-07-08,68.000000,69.250000,67.300003,69.139999,69.139999,866300
2019-07-09,68.580002,69.720001,68.260002,69.669998,69.669998,1681600
2019-07-10,70.000000,70.669998,69.245003,69.639999,69.639999,871100
2019-07-11,70.180000,71.150002,69.750000,71.099998,71.099998,701500
2019-07-12,71.029999,71.480003,70.250000,70.620003,70.620003,921300
2019-07-15,70.820000,71.720001,70.589996,71.339996,71.339996,584800
2019-07-16,71.300003,71.311996,69.070000,69.199997,69.199997,735500
2019-07-17,68.800003,69.470001,68.000000,68.440002,68.440002,1023100
2019-07-18,68.440002,69.190002,67.500000,68.529999,68.529999,962300
2019-07-19,69.059998,69.400002,68.099998,68.550003,68.550003,602100
2019-07-22,68.970001,71.000000,68.580002,70.139999,70.139999,2284600
2019-07-23,70.680000,70.959999,65.370003,67.139999,67.139999,1721400
2019-07-24,66.980003,69.349998,66.099998,69.239998,69.239998,950600
2019-07-25,69.239998,69.239998,66.309998,66.809998,66.809998,1087000
2019-07-26,67.150002,69.760002,66.949997,69.529999,69.529999,906900
2019-07-29,69.540001,69.750000,67.400002,68.500000,68.500000,773600
2019-07-30,67.779999,70.150002,67.110001,70.139999,70.139999,1011600
2019-07-31,70.160004,70.790001,67.320000,68.239998,68.239998,1722700
2019-08-01,69.019997,74.000000,66.470001,71.449997,71.449997,2800100
2019-08-02,71.360001,71.430000,67.430000,69.629997,69.629997,1119200
2019-08-05,66.900002,68.139999,64.500000,65.599998,65.599998,1652300
2019-08-06,66.699997,69.099998,66.620003,67.089996,67.089996,1193000
2019-08-07,65.559998,66.510002,64.550003,65.940002,65.940002,1309000
2019-08-08,66.000000,67.644997,65.949997,66.500000,66.500000,2053000
2019-08-09,66.370003,66.830002,64.660004,64.870003,64.870003,795000
2019-08-12,64.260002,66.730003,63.439999,65.389999,65.389999,870700
2019-08-13,65.540001,67.129997,65.010002,65.919998,65.919998,655200
2019-08-14,64.129997,64.650002,60.720001,61.500000,61.500000,1566300
2019-08-15,61.450001,61.529999,56.334999,56.939999,56.939999,2681700
2019-08-16,58.000000,61.209999,57.900002,60.430000,60.430000,2038700
2019-08-19,61.599998,61.950001,60.560001,61.119999,61.119999,841200
2019-08-20,60.990002,61.599998,60.130001,60.279999,60.279999,876300
2019-08-21,61.119999,61.570000,60.299999,60.610001,60.610001,627300
2019-08-22,60.939999,61.264999,59.759998,59.779999,59.779999,570200
2019-08-23,59.630001,60.139999,55.645000,56.049999,56.049999,1332900
2019-08-26,57.000000,57.419998,55.450001,55.930000,55.930000,797900
2019-08-27,56.419998,57.480000,54.849998,55.299999,55.299999,931700
2019-08-28,55.130001,56.299999,54.581001,55.900002,55.900002,511300
2019-08-29,56.900002,58.000000,56.520000,57.500000,57.500000,767500
2019-08-30,58.240002,58.240002,56.369999,57.880001,57.880001,579200
2019-09-03,57.540001,57.986000,55.939999,56.470001,56.470001,686000
2019-09-04,57.180000,60.369999,56.549999,59.160000,59.160000,3286200
2019-09-05,60.500000,62.340000,59.630001,61.009998,61.009998,1590600
2019-09-06,61.419998,63.400002,60.520000,62.320000,62.320000,1424100
2019-09-09,62.439999,63.090000,59.320000,62.930000,62.930000,1215000
2019-09-10,62.439999,65.070000,62.375000,64.779999,64.779999,1209100
2019-09-11,65.199997,68.180000,64.370003,68.080002,68.080002,1351300
2019-09-12,68.779999,70.459999,67.529999,69.050003,69.050003,2453900
2019-09-13,69.500000,71.000000,68.559998,70.389999,70.389999,2014200
2019-09-16,69.620003,69.959999,67.916000,68.160004,68.160004,1038700
2019-09-17,68.230003,69.339996,67.269997,68.699997,68.699997,662400
2019-09-18,68.629997,69.320000,66.279999,67.449997,67.449997,951300
2019-09-19,67.970001,70.300003,67.620003,68.730003,68.730003,1111600
2019-09-20,69.230003,72.730003,69.230003,72.150002,72.150002,1901200
2019-09-23,71.900002,73.129997,71.099998,72.199997,72.199997,1503400
2019-09-24,72.419998,72.669998,69.110001,71.000000,71.000000,2105700
2019-09-25,68.669998,70.110001,66.419998,69.000000,69.000000,2983200
2019-09-26,69.010002,69.660004,67.559998,68.540001,68.540001,1127500
2019-09-27,68.919998,68.940002,66.120003,66.519997,66.519997,1455800
2019-09-30,66.440002,68.849998,65.209999,67.720001,67.720001,873500
2019-10-01,67.690002,69.279999,66.080002,66.820000,66.820000,1776900
2019-10-02,66.000000,66.000000,60.049999,61.540001,61.540001,2950600
2019-10-03,61.540001,64.540001,61.520000,64.309998,64.309998,2191400
2019-10-04,64.730003,66.839996,64.730003,66.809998,66.809998,1178200
2019-10-07,66.760002,68.720001,66.660004,67.879997,67.879997,1036600
2019-10-08,67.180000,67.440002,65.550003,65.589996,65.589996,852800
2019-10-09,66.000000,68.639999,65.400002,67.809998,67.809998,1204500
2019-10-10,68.080002,69.250000,67.430000,68.010002,68.010002,829900
2019-10-11,69.720001,69.800003,67.169998,67.449997,67.449997,1351400
2019-10-14,67.500000,69.050003,67.029999,68.559998,68.559998,843100
2019-10-15,69.230003,70.739998,68.660004,69.800003,69.800003,1167900
2019-10-16,69.330002,70.230003,68.769997,69.019997,69.019997,738500
2019-10-17,69.709999,70.730003,69.050003,70.419998,70.419998,894900
2019-10-18,70.150002,70.360001,68.060997,69.220001,69.220001,628100
2019-10-21,69.900002,71.169998,68.309998,68.629997,68.629997,1087200
2019-10-22,68.760002,68.980003,67.849998,68.150002,68.150002,646700
